GSM_IDENTIFIER	TYPE_NOVEL	CLASS	TYPE
GSM329716	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329861	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329881	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330080	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329864	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329757	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330095	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329749	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329957	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329415	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330110	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329996	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329975	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330127	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329869	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330278	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330330	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329868	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330257	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330297	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329491	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329418	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330057	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330166	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330283	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329879	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329890	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329991	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329842	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330202	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330236	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329774	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329979	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330020	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330133	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329932	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329437	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329741	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330238	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329720	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329765	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329946	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330164	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330232	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330107	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330081	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330141	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329744	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329858	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329414	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329727	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329942	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329750	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330272	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329888	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329986	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330259	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330142	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330242	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329844	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329924	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329876	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330147	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329783	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329899	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330043	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330220	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330179	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330335	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329802	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330381	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329885	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329977	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330353	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330130	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329772	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330139	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329447	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330113	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330172	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330225	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329410	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330298	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329919	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330378	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329456	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329867	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330182	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329860	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329949	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329892	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330105	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330148	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330205	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330320	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329764	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330273	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329794	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329417	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329466	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329779	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329746	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330144	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329813	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329800	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330025	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330252	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330213	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329900	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329753	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329762	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330322	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330063	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329804	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330223	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329782	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329925	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329412	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329836	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329927	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329921	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329795	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329829	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329739	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329959	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329726	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329763	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330064	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330128	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330351	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330262	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330119	Leukemia	Tumor	Acute lymphoblastic leukemia
