ROW	GSM_IDENTIFIER	TYPE	TYPE_SIMPLIFIED	
1	X5500994172383112813929_G08.cel	Breast cancer	Breast cancer
2	X5500994158987071513209_C05.cel	Breast cancer	Breast cancer
3	X5500994172383112813929_E09.cel	Breast cancer	Breast cancer
4	X5500994172383112813929_G10.cel	Breast cancer	Breast cancer
5	X5500994172948120113978_A09.cel	Breast cancer	Breast cancer
6	X5500994158987071513209_G08.cel	Breast cancer	Breast cancer
7	X5500994173212120213068_G06.cel	Breast cancer	Breast cancer
8	X5500994175999120813240_D01.cel	Breast cancer	Breast cancer
9	X5500994172383112813929_H10.cel	Breast cancer	Breast cancer
10	X5500994172948120113978_F09.cel	Breast cancer	Breast cancer
11	X5500994172383112813929_A12.cel	Breast cancer	Breast cancer
12	X5500994157493061613625_B05.cel	Breast cancer	Breast cancer
13	X5500994175999120813240_B06.cel	Breast cancer	Breast cancer
14	X5500994158987071513209_D05.cel	Breast cancer	Breast cancer
15	X5500994158987071513207_F12.cel	Breast cancer	Breast cancer
16	X5500994172383112813929_E10.cel	Breast cancer	Breast cancer
17	X5500994172383112813929_F10.cel	Breast cancer	Breast cancer
18	X5500994172383112813928_H07.cel	Breast cancer	Breast cancer
19	X5500994172383112813929_A09.cel	Breast cancer	Breast cancer
20	X5500994172383112813929_A11.cel	Breast cancer	Breast cancer
21	X5500994158987071513209_A05.cel	Breast cancer	Breast cancer
22	X5500994157493061613625_A10.cel	Breast cancer	Breast cancer
23	X5500994158987071513209_A08.cel	Breast cancer	Breast cancer
24	X5500994172383112813929_A01.cel	Breast cancer	Breast cancer
25	X5500994172383112813928_C01.cel	Breast cancer	Breast cancer
26	X5500994158987071513207_C04.cel	Breast cancer	Breast cancer
27	X5500994158987071513209_G11.cel	Breast cancer	Breast cancer
28	X5500994158987071513201_G10.cel	Breast cancer	Breast cancer
29	X5500994172383112813929_H08.cel	Breast cancer	Breast cancer
30	X5500994172383112813928_D01.cel	Breast cancer	Breast cancer
31	X5500994158987071513209_D06.cel	Breast cancer	Breast cancer
32	X5500994157493061613625_C06.cel	Breast cancer	Breast cancer
33	X5500994172948120113978_H01.cel	Breast cancer	Breast cancer
34	X5500994173603120813304_G10.cel	Breast cancer	Breast cancer
35	X5500994158987071513202_B11.cel	Breast cancer	Breast cancer
36	X5500994158987071513207_C06.cel	Breast cancer	Breast cancer
37	X5500994172948120113978_G04.cel	Breast cancer	Breast cancer
38	X5500994157493061613625_A01.cel	Breast cancer	Breast cancer
39	X5500994172383112813929_E12.cel	Breast cancer	Breast cancer
40	X5500994158987071513207_F01.cel	Breast cancer	Breast cancer
41	X5500994175999120813240_B09.cel	Breast cancer	Breast cancer
42	X5500994158987071513207_F02.cel	Breast cancer	Breast cancer
43	X5500994157493061613625_F04.cel	Breast cancer	Breast cancer
44	X5500994173212120213068_A01.cel	Breast cancer	Breast cancer
45	X5500994157493061613625_F06.cel	Breast cancer	Breast cancer
46	X5500994175999120813240_H07.cel	Breast cancer	Breast cancer
47	X5500994157493061613625_D11.cel	Breast cancer	Breast cancer
48	X5500994172383112813928_B01.cel	Breast cancer	Breast cancer
49	X5500994172948120113978_E08.cel	Breast cancer	Breast cancer
50	X5500994157493061613625_A03.cel	Breast cancer	Breast cancer
51	X5500994172383112813928_E03.cel	CNS cancer	CNS cancer
52	X5500994173212120213068_F03.cel	CNS cancer	CNS cancer
53	X5500994158987071513207_D06.cel	CNS cancer	CNS cancer
54	X5500994172383112813929_D05.cel	CNS cancer	CNS cancer
55	X5500994158987071513202_G02.cel	CNS cancer	CNS cancer
56	X5500994158987071513202_C07.cel	CNS cancer	CNS cancer
57	X5500994172383112813928_E07.cel	CNS cancer	CNS cancer
58	X5500994158987071513202_G03.cel	CNS cancer	CNS cancer
59	X5500994172383112813930_A09.cel	CNS cancer	CNS cancer
60	X5500994158987071513209_C01.cel	CNS cancer	CNS cancer
61	X5500994172383112813928_C05.cel	CNS cancer	CNS cancer
62	X5500994158987071513202_A10.cel	CNS cancer	CNS cancer
63	X5500994172383112813929_C05.cel	CNS cancer	CNS cancer
64	X5500994158987071513201_B11.cel	CNS cancer	CNS cancer
65	X5500994175999120813240_A06.cel	CNS cancer	CNS cancer
66	X5500994158987071513209_H01.cel	CNS cancer	CNS cancer
67	X5500994172383112813930_C08.cel	CNS cancer	CNS cancer
68	X5500994158987071513209_B10.cel	CNS cancer	CNS cancer
69	X5500994158987071513209_E10.cel	CNS cancer	CNS cancer
70	X5500994158987071513209_C03.cel	CNS cancer	CNS cancer
71	X5500994158987071513202_E02.cel	CNS cancer	CNS cancer
72	X5500994158987071513207_A06.cel	CNS cancer	CNS cancer
73	X5500994172383112813929_A06.cel	CNS cancer	CNS cancer
74	X5500994158987071513202_A04.cel	CNS cancer	CNS cancer
75	X5500994172383112813928_A02.cel	CNS cancer	CNS cancer
76	X5500994158987071513209_A11.cel	CNS cancer	CNS cancer
77	X5500994157493061613625_C08.cel	CNS cancer	CNS cancer
78	X5500994173212120213068_B03.cel	CNS cancer	CNS cancer
79	X5500994158987071513201_D06.cel	CNS cancer	CNS cancer
80	X5500994158987071513207_G12.cel	CNS cancer	CNS cancer
81	X5500994172383112813930_H07.cel	CNS cancer	CNS cancer
82	X5500994158987071513207_C09.cel	CNS cancer	CNS cancer
83	X5500994158987071513202_A09.cel	CNS cancer	CNS cancer
84	X5500994158987071513202_D07.cel	CNS cancer	CNS cancer
85	X5500994158987071513202_H08.cel	CNS cancer	CNS cancer
86	X5500994158987071513202_C10.cel	CNS cancer	CNS cancer
87	X5500994172383112813930_H12.cel	CNS cancer	CNS cancer
88	X5500994175999120813240_H05.cel	CNS cancer	CNS cancer
89	X5500994158987071513202_E07.cel	CNS cancer	CNS cancer
90	X5500994157493061613625_E11.cel	CNS cancer	CNS cancer
91	X5500994175999120813240_C05.cel	CNS cancer	CNS cancer
92	X5500994157493061613625_D06.cel	CNS cancer	CNS cancer
93	X5500994158987071513207_G03.cel	CNS cancer	CNS cancer
94	X5500994157493061613625_B01.cel	CNS cancer	CNS cancer
95	X5500994158987071513209_C06.cel	CNS cancer	CNS cancer
96	X5500994158987071513202_B07.cel	CNS cancer	CNS cancer
97	X5500994175999120813240_G04.cel	CNS cancer	CNS cancer
98	X5500994172383112813929_H09.cel	CNS cancer	CNS cancer
99	X5500994172383112813929_E05.cel	CNS cancer	CNS cancer
100	X5500994172383112813930_G12.cel	CNS cancer	CNS cancer
101	X5500994158987071513207_H03.cel	CNS cancer	CNS cancer
102	X5500994172948120113978_A05.cel	CNS cancer	CNS cancer
103	X5500994158987071513207_A04.cel	CNS cancer	CNS cancer
104	X5500994175999120813240_C01.cel	CNS cancer	CNS cancer
105	X5500994158987071513209_D10.cel	CNS cancer	CNS cancer
106	X5500994172948120113978_E09.cel	CNS cancer	CNS cancer
107	X5500994158987071513207_D01.cel	Endocrine cancer	Endocrine cancer
108	X5500994158987071513209_A04.cel	Endocrine cancer	Endocrine cancer
109	X5500994172383112813930_F11.cel	Endocrine cancer	Endocrine cancer
110	X5500994158987071513209_F01.cel	Endocrine cancer	Endocrine cancer
111	X5500994175999120813240_H10.cel	Endocrine cancer	Endocrine cancer
112	X5500994172383112813929_D10.cel	Endocrine cancer	Endocrine cancer
113	X5500994173212120213068_A06.cel	Endocrine cancer	Endocrine cancer
114	X5500994158987071513207_F08.cel	Endocrine cancer	Endocrine cancer
115	X5500994175999120813240_C08.cel	Endocrine cancer	Endocrine cancer
116	X5500994158987071513209_B05.cel	Endocrine cancer	Endocrine cancer
117	X5500994172383112813929_G04.cel	Endocrine cancer	Endocrine cancer
118	X5500994172383112813929_A03.cel	Endocrine cancer	Endocrine cancer
119	X5500994175999120813240_C02.cel	Endocrine cancer	Endocrine cancer
120	X5500994175999120813240_G06.cel	Endocrine cancer	Endocrine cancer
121	X5500994172383112813928_G08.cel	Endocrine cancer	Endocrine cancer
122	X5500994158987071513201_F03.cel	Endocrine cancer	Endocrine cancer
123	X5500994172383112813928_B09.cel	Gastrointestinal cancer	Gastrointestinal cancer
124	X5500994172383112813930_D05.cel	Gastrointestinal cancer	Gastrointestinal cancer
125	X5500994158987071513202_C04.cel	Gastrointestinal cancer	Gastrointestinal cancer
126	X5500994158987071513207_G11.cel	Gastrointestinal cancer	Gastrointestinal cancer
127	X5500994172383112813929_C12.cel	Gastrointestinal cancer	Gastrointestinal cancer
128	X5500994172383112813929_B06.cel	Gastrointestinal cancer	Gastrointestinal cancer
129	X5500994172383112813928_F08.cel	Gastrointestinal cancer	Gastrointestinal cancer
130	X5500994158987071513207_H01.cel	Gastrointestinal cancer	Gastrointestinal cancer
131	X5500994175999120813240_H09.cel	Gastrointestinal cancer	Gastrointestinal cancer
132	X5500994172383112813929_C10.cel	Gastrointestinal cancer	Gastrointestinal cancer
133	X5500994158987071513207_E11.cel	Gastrointestinal cancer	Gastrointestinal cancer
134	X5500994158987071513201_D10.cel	Gastrointestinal cancer	Gastrointestinal cancer
135	X5500994173603120813304_E10.cel	Gastrointestinal cancer	Gastrointestinal cancer
136	X5500994158987071513202_H06.cel	Gastrointestinal cancer	Gastrointestinal cancer
137	X5500994158987071513207_C02.cel	Gastrointestinal cancer	Gastrointestinal cancer
138	X5500994172383112813928_B06.cel	Gastrointestinal cancer	Gastrointestinal cancer
139	X5500994173603120813304_A11.cel	Gastrointestinal cancer	Gastrointestinal cancer
140	X5500994158987071513202_H09.cel	Gastrointestinal cancer	Gastrointestinal cancer
141	X5500994172948120113978_F07.cel	Gastrointestinal cancer	Gastrointestinal cancer
142	X5500994158987071513209_C07.cel	Gastrointestinal cancer	Gastrointestinal cancer
143	X5500994158987071513207_A03.cel	Gastrointestinal cancer	Gastrointestinal cancer
144	X5500994158987071513207_G01.cel	Gastrointestinal cancer	Gastrointestinal cancer
145	X5500994172383112813930_D06.cel	Gastrointestinal cancer	Gastrointestinal cancer
146	X5500994158987071513209_C08.cel	Gastrointestinal cancer	Gastrointestinal cancer
147	X5500994175999120813240_G09.cel	Gastrointestinal cancer	Gastrointestinal cancer
148	X5500994158987071513202_E06.cel	Gastrointestinal cancer	Gastrointestinal cancer
149	X5500994158987071513209_F05.cel	Gastrointestinal cancer	Gastrointestinal cancer
150	X5500994158987071513201_F02.cel	Gastrointestinal cancer	Gastrointestinal cancer
151	X5500994158987071513201_B05.cel	Gastrointestinal cancer	Gastrointestinal cancer
152	X5500994172383112813930_F09.cel	Gastrointestinal cancer	Gastrointestinal cancer
153	X5500994172948120113978_E05.cel	Gastrointestinal cancer	Gastrointestinal cancer
154	X5500994172383112813930_F10.cel	Gastrointestinal cancer	Gastrointestinal cancer
155	X5500994158987071513207_B10.cel	Gastrointestinal cancer	Gastrointestinal cancer
156	X5500994172383112813929_E08.cel	Gastrointestinal cancer	Gastrointestinal cancer
157	X5500994158987071513201_D02.cel	Gastrointestinal cancer	Gastrointestinal cancer
158	X5500994172383112813930_E11.cel	Gastrointestinal cancer	Gastrointestinal cancer
159	X5500994158987071513202_H10.cel	Gastrointestinal cancer	Gastrointestinal cancer
160	X5500994172948120113978_C02.cel	Gastrointestinal cancer	Gastrointestinal cancer
161	X5500994158987071513201_C05.cel	Gastrointestinal cancer	Gastrointestinal cancer
162	X5500994157493061613625_H03.cel	Gastrointestinal cancer	Gastrointestinal cancer
163	X5500994172383112813930_C11.cel	Gastrointestinal cancer	Gastrointestinal cancer
164	X5500994173212120213068_D04.cel	Gastrointestinal cancer	Gastrointestinal cancer
165	X5500994158987071513209_F06.cel	Gastrointestinal cancer	Gastrointestinal cancer
166	X5500994158987071513202_G08.cel	Gastrointestinal cancer	Gastrointestinal cancer
167	X5500994158987071513201_E01.cel	Gastrointestinal cancer	Gastrointestinal cancer
168	X5500994175999120813240_H01.cel	Gastrointestinal cancer	Gastrointestinal cancer
169	X5500994158987071513207_A11.cel	Gastrointestinal cancer	Gastrointestinal cancer
170	X5500994158987071513202_B03.cel	Gastrointestinal cancer	Gastrointestinal cancer
171	X5500994172383112813928_D08.cel	Gastrointestinal cancer	Gastrointestinal cancer
172	X5500994158987071513207_F11.cel	Gastrointestinal cancer	Gastrointestinal cancer
173	X5500994173212120213068_B08.cel	Gastrointestinal cancer	Gastrointestinal cancer
174	X5500994172383112813930_F12.cel	Gastrointestinal cancer	Gastrointestinal cancer
175	X5500994175999120813240_D09.cel	Gastrointestinal cancer	Gastrointestinal cancer
176	X5500994158987071513201_H04.cel	Gastrointestinal cancer	Gastrointestinal cancer
177	X5500994158987071513201_E12.cel	Gastrointestinal cancer	Gastrointestinal cancer
178	X5500994158987071513207_C11.cel	Gastrointestinal cancer	Gastrointestinal cancer
179	X5500994158987071513209_G05.cel	Gastrointestinal cancer	Gastrointestinal cancer
180	X5500994158987071513209_D07.cel	Gastrointestinal cancer	Gastrointestinal cancer
181	X5500994157493061613625_C05.cel	Gastrointestinal cancer	Gastrointestinal cancer
182	X5500994173212120213068_A02.cel	Gastrointestinal cancer	Gastrointestinal cancer
183	X5500994158987071513209_F08.cel	Gastrointestinal cancer	Gastrointestinal cancer
184	X5500994172383112813929_A04.cel	Gastrointestinal cancer	Gastrointestinal cancer
185	X5500994173212120213068_F07.cel	Gastrointestinal cancer	Gastrointestinal cancer
186	X5500994172383112813930_G03.cel	Gastrointestinal cancer	Gastrointestinal cancer
187	X5500994172383112813929_B10.cel	Gastrointestinal cancer	Gastrointestinal cancer
188	X5500994158987071513207_B06.cel	Gastrointestinal cancer	Gastrointestinal cancer
189	X5500994158987071513207_F10.cel	Gastrointestinal cancer	Gastrointestinal cancer
190	X5500994173212120213068_H03.cel	Gastrointestinal cancer	Gastrointestinal cancer
191	X5500994173603120813304_C10.cel	Gastrointestinal cancer	Gastrointestinal cancer
192	X5500994172383112813928_D05.cel	Gastrointestinal cancer	Gastrointestinal cancer
193	X5500994157493061613625_H09.cel	Gastrointestinal cancer	Gastrointestinal cancer
194	X5500994172948120113978_B11.cel	Gastrointestinal cancer	Gastrointestinal cancer
195	X5500994158987071513202_G06.cel	Gastrointestinal cancer	Gastrointestinal cancer
196	X5500994172383112813928_F11.cel	Gastrointestinal cancer	Gastrointestinal cancer
197	X5500994172383112813928_E11.cel	Gastrointestinal cancer	Gastrointestinal cancer
198	X5500994157493061613625_E03.cel	Gastrointestinal cancer	Gastrointestinal cancer
199	X5500994158987071513207_D09.cel	Gastrointestinal cancer	Gastrointestinal cancer
200	X5500994157493061613625_E04.cel	Gastrointestinal cancer	Gastrointestinal cancer
201	X5500994172383112813928_A04.cel	Gastrointestinal cancer	Gastrointestinal cancer
202	X5500994173212120213068_B04.cel	Gastrointestinal cancer	Gastrointestinal cancer
203	X5500994158987071513209_C10.cel	Gastrointestinal cancer	Gastrointestinal cancer
204	X5500994158987071513209_A12.cel	Gastrointestinal cancer	Gastrointestinal cancer
205	X5500994157493061613625_A11.cel	Gastrointestinal cancer	Gastrointestinal cancer
206	X5500994172383112813929_C04.cel	Gastrointestinal cancer	Gastrointestinal cancer
207	X5500994157493061613625_G11.cel	Gastrointestinal cancer	Gastrointestinal cancer
208	X5500994173212120213068_A09.cel	Gastrointestinal cancer	Gastrointestinal cancer
209	X5500994173212120213068_H01.cel	Gastrointestinal cancer	Gastrointestinal cancer
210	X5500994172383112813928_C03.cel	Gastrointestinal cancer	Gastrointestinal cancer
211	X5500994172383112813929_C08.cel	Gastrointestinal cancer	Gastrointestinal cancer
212	X5500994158987071513207_H12.cel	Gastrointestinal cancer	Gastrointestinal cancer
213	X5500994158987071513201_A05.cel	Gastrointestinal cancer	Gastrointestinal cancer
214	X5500994172383112813928_F06.cel	Gastrointestinal cancer	Gastrointestinal cancer
215	X5500994157493061613625_F08.cel	Gastrointestinal cancer	Gastrointestinal cancer
216	X5500994172383112813930_A07.cel	Gastrointestinal cancer	Gastrointestinal cancer
217	X5500994172383112813930_B06.cel	Gastrointestinal cancer	Gastrointestinal cancer
218	X5500994173212120213068_G05.cel	Gastrointestinal cancer	Gastrointestinal cancer
219	X5500994172383112813930_B12.cel	Gastrointestinal cancer	Gastrointestinal cancer
220	X5500994172383112813929_D04.cel	Gastrointestinal cancer	Gastrointestinal cancer
221	X5500994158987071513209_B01.cel	Gastrointestinal cancer	Gastrointestinal cancer
222	X5500994158987071513207_C08.cel	Gastrointestinal cancer	Gastrointestinal cancer
223	X5500994172383112813929_G12.cel	Gastrointestinal cancer	Gastrointestinal cancer
224	X5500994173212120213068_D02.cel	Gastrointestinal cancer	Gastrointestinal cancer
225	X5500994172948120113978_E02.cel	Gastrointestinal cancer	Gastrointestinal cancer
226	X5500994172383112813929_H11.cel	Gastrointestinal cancer	Gastrointestinal cancer
227	X5500994172383112813929_C06.cel	Gastrointestinal cancer	Gastrointestinal cancer
228	X5500994173212120213068_B09.cel	Gastrointestinal cancer	Gastrointestinal cancer
229	X5500994175999120813240_E02.cel	Gastrointestinal cancer	Gastrointestinal cancer
230	X5500994172383112813928_E12.cel	Gastrointestinal cancer	Gastrointestinal cancer
231	X5500994172383112813929_E11.cel	Gastrointestinal cancer	Gastrointestinal cancer
232	X5500994172383112813929_B12.cel	Gastrointestinal cancer	Gastrointestinal cancer
233	X5500994173212120213068_E01.cel	Gastrointestinal cancer	Gastrointestinal cancer
234	X5500994173212120213068_B02.cel	Gastrointestinal cancer	Gastrointestinal cancer
235	X5500994172383112813930_E12.cel	Gastrointestinal cancer	Gastrointestinal cancer
236	X5500994172948120113978_E07.cel	Gastrointestinal cancer	Gastrointestinal cancer
237	X5500994172383112813930_G10.cel	Gastrointestinal cancer	Gastrointestinal cancer
238	X5500994157493061613625_C10.cel	Gastrointestinal cancer	Gastrointestinal cancer
239	X5500994172383112813928_E08.cel	Gastrointestinal cancer	Gastrointestinal cancer
240	X5500994158987071513202_D08.cel	Gastrointestinal cancer	Gastrointestinal cancer
241	X5500994172383112813930_A06.cel	Gastrointestinal cancer	Gastrointestinal cancer
242	X5500994175999120813240_C07.cel	Gastrointestinal cancer	Gastrointestinal cancer
243	X5500994173212120213068_G01.cel	Gastrointestinal cancer	Gastrointestinal cancer
244	X5500994173212120213068_F09.cel	Gastrointestinal cancer	Gastrointestinal cancer
245	X5500994158987071513202_B10.cel	Gastrointestinal cancer	Gastrointestinal cancer
246	X5500994172383112813928_G06.cel	Gastrointestinal cancer	Gastrointestinal cancer
247	X5500994158987071513202_F06.cel	Gastrointestinal cancer	Gastrointestinal cancer
248	X5500994175999120813240_B03.cel	Gastrointestinal cancer	Gastrointestinal cancer
249	X5500994172383112813929_F08.cel	Gastrointestinal cancer	Gastrointestinal cancer
250	X5500994158987071513201_E06.cel	Gastrointestinal cancer	Gastrointestinal cancer
