"GROUP"	"LABEL"
"366"	27	"GSM929497"
"367"	27	"GSM46864"
"368"	27	"GSM270792"
"369"	27	"GSM270795"
"370"	27	"GSM270796"
"371"	27	"GSM270794"
"372"	27	"GSM588859"
"373"	27	"GSM588842"
"374"	27	"GSM53168"
"375"	27	"GSM671383"
"376"	27	"GSM638946"
"377"	27	"GSM638949"
"378"	27	"GSM638942"
"379"	27	"GSM638950"
"380"	27	"GSM335564"
"381"	27	"GSM335575"
"382"	27	"GSM687494"
"383"	27	"GSM335547"
"384"	27	"GSM656837"
"385"	27	"GSM335597"
"386"	27	"GSM335661"
"387"	27	"GSM335638"
"388"	27	"GSM335646"
"389"	27	"GSM335659"
"390"	27	"GSM335620"
"391"	27	"GSM335647"
"392"	27	"GSM972280"
"393"	27	"GSM972277"
"394"	27	"GSM972265"
"395"	27	"GSM335633"
"396"	27	"GSM972282"
"397"	27	"GSM335663"
"398"	27	"GSM335634"
"399"	27	"GSM972270"
"400"	27	"GSM335563"
"401"	27	"GSM335642"
"402"	27	"GSM335656"
"403"	27	"GSM335641"
"404"	27	"GSM335585"
"405"	27	"GSM523248"
"406"	27	"GSM523275"
"407"	27	"GSM523253"
"408"	27	"GSM523249"
"409"	27	"GSM523250"
"410"	27	"GSM523257"
"411"	27	"GSM523278"
"412"	27	"GSM523262"
"413"	27	"GSM523258"
"414"	27	"GSM523263"
"415"	27	"GSM687523"
"416"	27	"GSM687522"
"417"	27	"GSM750881"
"418"	27	"GSM400180"
"419"	27	"GSM400182"
"420"	27	"GSM452595"
"421"	27	"GSM452602"
"422"	27	"GSM452623"
"423"	27	"GSM452558"
"424"	27	"GSM452560"
"425"	27	"GSM452571"
"426"	27	"GSM452625"
"427"	27	"GSM452604"
"428"	27	"GSM452615"
"429"	27	"GSM452584"
"430"	27	"GSM452565"
"431"	27	"GSM452627"
"432"	27	"GSM452589"
"433"	27	"GSM452590"
"434"	27	"GSM452552"
"435"	27	"GSM452556"
"436"	27	"GSM452616"
"437"	27	"GSM452559"
"438"	27	"GSM452619"
"439"	27	"GSM452624"
"440"	27	"GSM452579"
"441"	27	"GSM452618"
"442"	27	"GSM452607"
"443"	27	"GSM452610"
"444"	27	"GSM452622"
"445"	27	"GSM452620"
"446"	27	"GSM687529"
"447"	27	"GSM452574"
"448"	27	"GSM687526"
"449"	27	"GSM452585"
"450"	27	"GSM1254473"
"451"	27	"GSM400185"
"452"	27	"GSM400181"
"453"	27	"GSM400183"
"454"	27	"GSM400184"
"455"	27	"GSM656806"
"456"	27	"GSM656613"
"457"	27	"GSM656839"
"458"	27	"GSM656721"
"459"	27	"GSM138032"
"460"	27	"GSM929512"
"461"	27	"GSM972105"
"462"	27	"GSM305352"
"463"	27	"GSM687525"
"464"	27	"GSM237980"
"465"	27	"GSM237977"
"466"	27	"GSM656636"
"467"	27	"GSM237945"
"468"	27	"GSM656635"
"469"	27	"GSM335553"
"470"	27	"GSM335600"
"471"	27	"GSM662644"
"472"	27	"GSM972127"
"473"	27	"GSM335552"
"474"	27	"GSM231868"
"475"	27	"GSM638947"
"476"	27	"GSM335637"
"477"	27	"GSM495062"
"478"	27	"GSM661753"
"479"	27	"GSM661752"
"480"	27	"GSM661761"
"481"	27	"GSM661748"
"482"	27	"GSM661741"
"483"	27	"GSM661758"
"484"	27	"GSM661754"
"485"	27	"GSM661746"
"486"	27	"GSM661755"
"487"	27	"GSM661750"
"488"	27	"GSM661747"
"489"	27	"GSM661744"
"490"	27	"GSM661751"
"491"	27	"GSM661759"
"492"	27	"GSM661743"
"493"	27	"GSM661749"
"494"	27	"GSM661756"
"495"	27	"GSM661742"
"496"	27	"GSM661760"
"497"	27	"GSM661757"
"498"	27	"GSM661745"
"499"	27	"GSM523269"
"500"	27	"GSM523270"
"501"	27	"GSM523280"
"502"	27	"GSM523268"
"503"	27	"GSM523271"
"504"	27	"GSM523242"
"505"	27	"GSM523273"
