"GROUP"	"LABEL"
"153"	1	"TCGA.AB.2959.03A.01T.0734.13"
"154"	1	"TCGA.AB.2946.03A.01T.0740.13"
"155"	1	"TCGA.AB.2939.03A.01T.0740.13"
"156"	1	"TCGA.AB.2844.03A.01T.0736.13"
"157"	1	"TCGA.AB.2845.03B.01T.0748.13"
"158"	1	"TCGA.AB.3000.03A.01T.0736.13"
"159"	1	"TCGA.AB.2823.03A.01T.0736.13"
"160"	1	"TCGA.AB.2874.03A.01T.0735.13"
"161"	1	"TCGA.AB.2983.03A.01T.0734.13"
"162"	1	"TCGA.AB.2840.03A.01T.0734.13"
"163"	1	"TCGA.AB.2998.03A.01T.0735.13"
"164"	1	"TCGA.AB.3002.03A.01T.0736.13"
"165"	1	"TCGA.AB.2990.03B.01T.0748.13"
"166"	1	"TCGA.AB.2918.03A.01T.0740.13"
"167"	1	"TCGA.AB.2930.03A.01T.0740.13"
"168"	1	"TCGA.AB.2901.03A.01T.0735.13"
"169"	1	"TCGA.AB.2976.03A.01T.0734.13"
"170"	1	"TCGA.AB.2988.03B.01T.0748.13"
"171"	1	"TCGA.AB.2993.03A.01T.0735.13"
"172"	1	"TCGA.AB.2913.03A.01T.0734.13"
"173"	1	"TCGA.AB.3009.03A.01T.0736.13"
"174"	2	"TCGA.24.1413.01A.01R.1565.13"
"175"	2	"TCGA.25.1314.01A.01R.1565.13"
"176"	2	"TCGA.24.2267.01A.01R.1568.13"
"177"	2	"TCGA.23.1120.01A.02R.1565.13"
"178"	2	"TCGA.24.2288.01A.01R.1568.13"
"179"	2	"TCGA.LB.A7SX.01A.11R.A33R.07"
"180"	2	"TCGA.24.2271.01A.01R.1568.13"
"181"	2	"TCGA.29.1770.02A.01R.1567.13"
"182"	2	"TCGA.10.0936.01A.01R.1564.13"
"183"	2	"TCGA.61.1910.01A.01R.1567.13"
"184"	2	"TCGA.24.1467.01A.01R.1566.13"
"185"	2	"TCGA.25.2399.01A.01R.1569.13"
"186"	2	"TCGA.AC.A6NO.01A.12R.A33J.07"
"187"	2	"TCGA.36.1575.01A.01R.1566.13"
"188"	2	"TCGA.61.2088.01A.01R.1568.13"
"189"	2	"TCGA.25.1328.01A.01R.1565.13"
"190"	2	"TCGA.61.2095.01A.01R.1568.13"
"191"	2	"TCGA.29.2414.02A.01R.1569.13"
"192"	2	"TCGA.90.A4ED.01A.31R.A24Z.07"
"193"	2	"TCGA.IG.A3YB.01A.11R.A36D.31"
"194"	2	"TCGA.24.1425.01A.02R.1566.13"
"195"	2	"TCGA.AR.A2LO.01A.31R.A18M.07"
