"IMMUNE_CELLTYPE"	"TC"	"Correlation"	"PValue"	"ABSCOR"
"816"	"NK.cells.activated"	"V131"	-0.0792	1.58e-16	0.079208498
"817"	"T.cells.CD4.memory.activated"	"V786"	0.0792	1.59e-16	0.079203168
"818"	"T.cells.regulatory..Tregs."	"V1112"	0.0791	1.74e-16	0.079096995
"819"	"Mast.cells.resting"	"V1112"	-0.079033475	1.84e-16	0.079033475
"820"	"T.cells.gamma.delta"	"V1002"	-0.079	1.96e-16	0.078964905
"821"	"Macrophages.M0"	"V305"	-0.078937572	2.01e-16	0.078937572
"822"	"Neutrophils"	"V516"	-0.078911412	2.05e-16	0.078911412
"823"	"T.cells.gamma.delta"	"V143"	0.0789	2.07e-16	0.078903507
"824"	"T.cells.follicular.helper"	"V336"	0.0789	2.13e-16	0.078869494
"825"	"Dendritic.cells.resting"	"V895"	-0.078845391	2.17e-16	0.078845391
"826"	"NK.cells.resting"	"V887"	0.0787	2.46e-16	0.07870134
"827"	"Mast.cells.activated"	"V986"	-0.078643839	2.59e-16	0.078643839
"828"	"T.cells.gamma.delta"	"V738"	0.0786	2.63e-16	0.078627809
"829"	"Macrophages.M0"	"V12"	-0.078590806	2.71e-16	0.078590806
"830"	"Monocytes"	"V1209"	-0.078557411	2.79e-16	0.078557411
"831"	"Monocytes"	"V964"	0.078549643	2.81e-16	0.078549643
"832"	"B.cells.naive"	"V487"	-0.078507113	2.91e-16	0.078507113
"833"	"Macrophages.M2"	"V895"	-0.078427843	3.12e-16	0.078427843
"834"	"Macrophages.M0"	"V840"	0.078381938	3.25e-16	0.078381938
"835"	"T.cells.CD8"	"V518"	-0.0784	3.29e-16	0.078365665
"836"	"Macrophages.M0"	"V1198"	0.078344574	3.36e-16	0.078344574
"837"	"Macrophages.M1"	"V833"	-0.078344178	3.36e-16	0.078344178
"838"	"B.cells.naive"	"V671"	0.078310764	3.45e-16	0.078310764
"839"	"NK.cells.resting"	"V1145"	-0.0781	4.25e-16	0.07806995
"840"	"T.cells.CD4.memory.resting"	"V116"	-0.078	4.48e-16	0.078010496
"841"	"Monocytes"	"V442"	0.077925637	4.82e-16	0.077925637
"842"	"T.cells.CD4.naive"	"V511"	0.0778	5.16e-16	0.077844858
"843"	"T.cells.CD4.memory.activated"	"V169"	-0.0778	5.5e-16	0.077771116
"844"	"Macrophages.M0"	"V661"	0.077612517	6.3e-16	0.077612517
"845"	"Macrophages.M0"	"V360"	-0.077575178	6.51e-16	0.077575178
"846"	"Plasma.cells"	"V1366"	0.0776	6.6e-16	0.077559147
"847"	"Dendritic.cells.activated"	"V1061"	-0.077553954	6.63e-16	0.077553954
"848"	"NK.cells.activated"	"V1226"	-0.077524794	6.79e-16	0.077524794
"849"	"T.cells.CD4.memory.activated"	"V146"	0.0775	6.96e-16	0.077496478
"850"	"T.cells.CD8"	"V1043"	-0.0775	7.04e-16	0.077483878
"851"	"T.cells.follicular.helper"	"V647"	-0.0773	7.97e-16	0.077338018
"852"	"Macrophages.M0"	"V814"	0.077258716	8.53e-16	0.077258716
"853"	"Macrophages.M0"	"V540"	-0.077129615	9.52e-16	0.077129615
"854"	"B.cells.memory"	"V895"	-0.077	1.04e-15	0.077028668
"855"	"T.cells.CD4.memory.activated"	"V754"	0.077	1.07e-15	0.076991917
"856"	"NK.cells.activated"	"V485"	-0.076931233	1.13e-15	0.076931233
"857"	"Eosinophils"	"V1209"	-0.076805589	1.25e-15	0.076805589
"858"	"Monocytes"	"V1233"	-0.076794606	1.27e-15	0.076794606
"859"	"Mast.cells.activated"	"V1145"	0.076671062	1.41e-15	0.076671062
"860"	"Neutrophils"	"V926"	-0.076619285	1.47e-15	0.076619285
"861"	"T.cells.gamma.delta"	"V148"	0.0765	1.58e-15	0.076530118
"862"	"B.cells.naive"	"V1205"	0.0765	1.61e-15	0.076508734
"863"	"Macrophages.M1"	"V55"	-0.076462112	1.68e-15	0.076462112
"864"	"NK.cells.resting"	"V215"	0.0764	1.71e-15	0.076437646
"865"	"T.cells.follicular.helper"	"V291"	0.0764	1.71e-15	0.076435607
"866"	"B.cells.naive"	"V253"	0.076434129	1.72e-15	0.076434129
"867"	"B.cells.naive"	"V926"	-0.076342893	1.85e-15	0.076342893
"868"	"Macrophages.M0"	"V960"	0.076204632	2.08e-15	0.076204632
"869"	"Eosinophils"	"V964"	0.076139945	2.2e-15	0.076139945
"870"	"T.cells.CD4.naive"	"V305"	0.0761	2.33e-15	0.076072721
"871"	"Monocytes"	"V926"	-0.075982975	2.51e-15	0.075982975
"872"	"Macrophages.M2"	"V342"	-0.075688958	3.21e-15	0.075688958
"873"	"Dendritic.cells.activated"	"V215"	0.07537472	4.17e-15	0.07537472
"874"	"NK.cells.resting"	"V1117"	0.0754	4.21e-15	0.075365337
"875"	"T.cells.CD4.naive"	"V464"	0.0753	4.34e-15	0.075327061
"876"	"Macrophages.M1"	"V1069"	-0.0752502	4.63e-15	0.0752502
"877"	"B.cells.naive"	"V357"	0.075249312	4.63e-15	0.075249312
"878"	"Dendritic.cells.activated"	"V887"	0.075209316	4.79e-15	0.075209316
"879"	"Macrophages.M2"	"V1145"	-0.075032655	5.55e-15	0.075032655
"880"	"NK.cells.activated"	"V895"	-0.075019697	5.61e-15	0.075019697
"881"	"NK.cells.resting"	"V1198"	0.075	5.91e-15	0.074955365
"882"	"NK.cells.resting"	"V926"	-0.0749	6.1e-15	0.074917456
"883"	"NK.cells.resting"	"V1254"	0.0749	6.2e-15	0.074898745
"884"	"T.cells.CD4.memory.resting"	"V1366"	0.0749	6.32e-15	0.074874343
"885"	"T.cells.CD4.memory.activated"	"V960"	0.0748	6.99e-15	0.074752637
"886"	"B.cells.naive"	"V12"	-0.074586339	8.02e-15	0.074586339
"887"	"Dendritic.cells.activated"	"V253"	0.074562438	8.18e-15	0.074562438
"888"	"Macrophages.M1"	"V579"	-0.074517448	8.49e-15	0.074517448
"889"	"T.cells.CD4.memory.activated"	"V839"	-0.0745	8.69e-15	0.074488398
"890"	"NK.cells.activated"	"V295"	0.0744	9.35e-15	0.074399951
"891"	"T.cells.CD8"	"V1132"	-0.0744	9.72e-15	0.074352162
"892"	"T.cells.CD4.memory.resting"	"V1155"	0.0743	9.83e-15	0.074339499
"893"	"Dendritic.cells.activated"	"V896"	0.074317754	1e-14	0.074317754
"894"	"T.cells.CD4.naive"	"V789"	0.0742	1.09e-14	0.074215931
"895"	"NK.cells.resting"	"V518"	-0.0741	1.19e-14	0.074102139
"896"	"T.cells.CD4.memory.resting"	"V786"	0.074	1.33e-14	0.073971861
"897"	"T.cells.CD4.memory.resting"	"V451"	-0.0739	1.43e-14	0.073882586
"898"	"T.cells.follicular.helper"	"V1359"	0.0736	1.74e-14	0.073637987
"899"	"Plasma.cells"	"V286"	0.0736	1.79e-14	0.073606491
"900"	"Dendritic.cells.activated"	"V1204"	-0.07349836	1.95e-14	0.07349836
"901"	"Macrophages.M0"	"V671"	0.0734197	2.08e-14	0.0734197
"902"	"Dendritic.cells.activated"	"V758"	0.073323846	2.25e-14	0.073323846
"903"	"B.cells.naive"	"V405"	0.073237876	2.41e-14	0.073237876
"904"	"Mast.cells.activated"	"V487"	-0.073230625	2.43e-14	0.073230625
"905"	"T.cells.regulatory..Tregs."	"V649"	0.0732	2.43e-14	0.073226883
"906"	"Dendritic.cells.resting"	"V1064"	0.073198143	2.49e-14	0.073198143
"907"	"Macrophages.M0"	"V511"	-0.073182131	2.52e-14	0.073182131
"908"	"Macrophages.M2"	"V240"	-0.073067795	2.77e-14	0.073067795
"909"	"Mast.cells.activated"	"V949"	0.073062427	2.78e-14	0.073062427
"910"	"NK.cells.activated"	"V1155"	-0.073017183	2.88e-14	0.073017183
"911"	"T.cells.CD4.memory.resting"	"V373"	-0.0728	3.37e-14	0.072823716
"912"	"Mast.cells.resting"	"V1032"	-0.072765163	3.53e-14	0.072765163
"913"	"Macrophages.M1"	"V736"	-0.072652995	3.87e-14	0.072652995
"914"	"Macrophages.M0"	"V482"	-0.072598434	4.04e-14	0.072598434
"915"	"B.cells.memory"	"V143"	0.0725	4.23e-14	0.072542339
"916"	"T.cells.CD8"	"V1209"	-0.0725	4.5e-14	0.072463917
"917"	"Dendritic.cells.activated"	"V487"	-0.072458599	4.52e-14	0.072458599
"918"	"Dendritic.cells.activated"	"V305"	-0.072398008	4.74e-14	0.072398008
"919"	"B.cells.naive"	"V1117"	0.072335819	4.99e-14	0.072335819
"920"	"T.cells.CD8"	"V269"	0.0722	5.35e-14	0.072248778
"921"	"Eosinophils"	"V1233"	-0.072220323	5.47e-14	0.072220323
"922"	"T.cells.follicular.helper"	"V630"	-0.0722	5.47e-14	0.072220294
"923"	"Macrophages.M1"	"V887"	0.072129373	5.88e-14	0.072129373
"924"	"T.cells.CD4.memory.activated"	"V840"	0.0721	6.03e-14	0.072096856
"925"	"T.cells.CD4.memory.activated"	"V215"	0.072	6.33e-14	0.07203773
"926"	"T.cells.CD4.memory.resting"	"V1198"	0.072	6.63e-14	0.071979189
"927"	"Macrophages.M0"	"V887"	0.071861744	7.28e-14	0.071861744
"928"	"Mast.cells.resting"	"V1226"	0.071855859	7.31e-14	0.071855859
"929"	"T.cells.follicular.helper"	"V668"	-0.0718	7.65e-14	0.071799575
"930"	"Macrophages.M1"	"V36"	-0.071724969	8.11e-14	0.071724969
"931"	"Mast.cells.resting"	"V485"	0.071676216	8.43e-14	0.071676216
"932"	"Mast.cells.resting"	"V36"	-0.071641155	8.67e-14	0.071641155
"933"	"NK.cells.resting"	"V1155"	0.0716	8.77e-14	0.071625918
"934"	"T.cells.CD4.naive"	"V1226"	-0.0716	8.96e-14	0.071599396
"935"	"T.cells.regulatory..Tregs."	"V1359"	0.0716	9e-14	0.071594009
"936"	"B.cells.naive"	"V896"	0.071545182	9.35e-14	0.071545182
"937"	"Mast.cells.resting"	"V442"	0.071455882	1e-13	0.071455882
"938"	"Macrophages.M1"	"V1198"	0.07137094	1.07e-13	0.07137094
"939"	"B.cells.naive"	"V712"	0.071301749	1.13e-13	0.071301749
"940"	"B.cells.memory"	"V1373"	-0.0712	1.18e-13	0.071247753
"941"	"NK.cells.activated"	"V738"	0.071224611	1.2e-13	0.071224611
"942"	"Mast.cells.activated"	"V1275"	-0.07114092	1.29e-13	0.07114092
"943"	"Macrophages.M0"	"V36"	-0.071076154	1.35e-13	0.071076154
"944"	"NK.cells.resting"	"V680"	0.0711	1.38e-13	0.071055793
"945"	"Macrophages.M0"	"V442"	-0.071038347	1.39e-13	0.071038347
"946"	"T.cells.CD4.memory.activated"	"V1205"	0.071	1.45e-13	0.070989035
"947"	"T.cells.CD4.memory.activated"	"V486"	-0.0709	1.53e-13	0.070924382
"948"	"Dendritic.cells.resting"	"V888"	-0.070823946	1.65e-13	0.070823946
"949"	"Macrophages.M2"	"V1194"	-0.070685483	1.84e-13	0.070685483
"950"	"Mast.cells.resting"	"V1069"	-0.070663772	1.87e-13	0.070663772
"951"	"Plasma.cells"	"V1061"	-0.0706	1.91e-13	0.070639422
"952"	"Mast.cells.resting"	"V487"	-0.070585087	1.99e-13	0.070585087
"953"	"Dendritic.cells.activated"	"V668"	-0.070566207	2.02e-13	0.070566207
"954"	"T.cells.regulatory..Tregs."	"V220"	0.0705	2.06e-13	0.070539666
"955"	"Eosinophils"	"V923"	0.070482926	2.15e-13	0.070482926
"956"	"Monocytes"	"V647"	0.070386984	2.32e-13	0.070386984
"957"	"Dendritic.cells.activated"	"V601"	0.070380835	2.33e-13	0.070380835
"958"	"Macrophages.M1"	"V240"	-0.070290781	2.5e-13	0.070290781
"959"	"Mast.cells.activated"	"V466"	-0.070285633	2.51e-13	0.070285633
"960"	"Dendritic.cells.activated"	"V464"	-0.070273303	2.54e-13	0.070273303
"961"	"T.cells.CD8"	"V523"	-0.0702	2.63e-13	0.070226294
"962"	"Mast.cells.resting"	"V82"	0.070223477	2.64e-13	0.070223477
"963"	"Monocytes"	"V1032"	-0.070185587	2.72e-13	0.070185587
"964"	"Eosinophils"	"V1373"	0.070076753	2.95e-13	0.070076753
"965"	"Mast.cells.resting"	"V630"	-0.070019609	3.09e-13	0.070019609
"966"	"T.cells.CD8"	"V352"	-0.0699	3.3e-13	0.069935014
"967"	"T.cells.CD4.memory.resting"	"V1359"	0.0699	3.31e-13	0.069928298
"968"	"Dendritic.cells.activated"	"V1303"	-0.069801438	3.66e-13	0.069801438
"969"	"B.cells.memory"	"V1155"	0.0698	3.7e-13	0.069785712
"970"	"T.cells.CD4.memory.resting"	"V1195"	-0.0696	4.32e-13	0.069585214
"971"	"Mast.cells.activated"	"V1164"	0.069583338	4.33e-13	0.069583338
"972"	"T.cells.CD4.memory.activated"	"V670"	0.0695	4.54e-13	0.069519868
"973"	"Macrophages.M1"	"V773"	-0.069432157	4.86e-13	0.069432157
"974"	"Mast.cells.resting"	"V451"	-0.069413734	4.93e-13	0.069413734
"975"	"Mast.cells.resting"	"V788"	0.069384626	5.04e-13	0.069384626
"976"	"Macrophages.M1"	"V305"	-0.069360684	5.13e-13	0.069360684
"977"	"Neutrophils"	"V8"	0.069336782	5.23e-13	0.069336782
"978"	"T.cells.follicular.helper"	"V786"	0.0692	6.02e-13	0.069152833
"979"	"Macrophages.M1"	"V670"	0.069077519	6.38e-13	0.069077519
"980"	"T.cells.CD4.memory.resting"	"V146"	0.0691	6.43e-13	0.069065862
"981"	"T.cells.CD4.memory.resting"	"V840"	0.0691	6.44e-13	0.069064698
"982"	"B.cells.naive"	"V143"	0.069058374	6.47e-13	0.069058374
"983"	"T.cells.CD4.memory.resting"	"V788"	-0.069	6.69e-13	0.069014398
"984"	"B.cells.memory"	"V1064"	0.069	6.82e-13	0.068990352
"985"	"T.cells.regulatory..Tregs."	"V840"	0.0689	7.11e-13	0.068935223
"986"	"Macrophages.M0"	"V736"	-0.068921681	7.18e-13	0.068921681
"987"	"T.cells.regulatory..Tregs."	"V888"	-0.0689	7.57e-13	0.068853584
"988"	"B.cells.naive"	"V148"	0.068844685	7.62e-13	0.068844685
"989"	"NK.cells.activated"	"V486"	-0.068812859	7.81e-13	0.068812859
"990"	"B.cells.naive"	"V1132"	-0.068684834	8.6e-13	0.068684834
"991"	"Macrophages.M1"	"V1378"	-0.068682336	8.62e-13	0.068682336
"992"	"Mast.cells.activated"	"V1303"	-0.068648722	8.84e-13	0.068648722
"993"	"B.cells.naive"	"V1145"	-0.0686	9.18e-13	0.068600256
"994"	"T.cells.CD4.memory.resting"	"V2"	-0.0685	9.77e-13	0.068517264
"995"	"NK.cells.activated"	"V960"	0.068504675	9.87e-13	0.068504675
"996"	"NK.cells.resting"	"V139"	-0.0685	1.01e-12	0.068475482
"997"	"Dendritic.cells.activated"	"V46"	0.068471009	1.01e-12	0.068471009
"998"	"T.cells.regulatory..Tregs."	"V758"	0.0684	1.08e-12	0.068384691
"999"	"T.cells.CD4.memory.resting"	"V870"	0.0684	1.09e-12	0.068375554
"1000"	"NK.cells.resting"	"V1116"	-0.0684	1.1e-12	0.068366055
"1001"	"NK.cells.resting"	"V12"	-0.0683	1.11e-12	0.068345219
"1002"	"Eosinophils"	"V888"	-0.068293184	1.16e-12	0.068293184
"1003"	"Dendritic.cells.activated"	"V1155"	0.068261029	1.19e-12	0.068261029
"1004"	"Dendritic.cells.resting"	"V881"	-0.068245781	1.2e-12	0.068245781
"1005"	"B.cells.naive"	"V659"	0.068193365	1.25e-12	0.068193365
"1006"	"Eosinophils"	"V442"	0.068167965	1.27e-12	0.068167965
"1007"	"NK.cells.resting"	"V1359"	0.0681	1.31e-12	0.068129448
"1008"	"Monocytes"	"V286"	-0.068102525	1.34e-12	0.068102525
"1009"	"B.cells.naive"	"V923"	0.068078131	1.36e-12	0.068078131
"1010"	"Eosinophils"	"V870"	0.068004826	1.44e-12	0.068004826
"1011"	"Mast.cells.activated"	"V269"	-0.067942587	1.51e-12	0.067942587
"1012"	"NK.cells.activated"	"V1326"	0.06791387	1.54e-12	0.06791387
"1013"	"T.cells.CD4.memory.activated"	"V1326"	0.0679	1.58e-12	0.067883015
"1014"	"Dendritic.cells.resting"	"V669"	-0.067882748	1.58e-12	0.067882748
"1015"	"T.cells.CD8"	"V394"	0.0677	1.75e-12	0.067743722
"1016"	"T.cells.CD4.memory.resting"	"V1224"	-0.0677	1.8e-12	0.067704938
"1017"	"Macrophages.M0"	"V139"	-0.067653704	1.87e-12	0.067653704
"1018"	"NK.cells.activated"	"V220"	0.0676	1.92e-12	0.067620193
"1019"	"NK.cells.resting"	"V773"	-0.0675	2.08e-12	0.067517335
"1020"	"NK.cells.resting"	"V516"	-0.0675	2.11e-12	0.067493379
"1021"	"Dendritic.cells.activated"	"V82"	0.067472674	2.15e-12	0.067472674
"1022"	"Eosinophils"	"V46"	0.067356438	2.34e-12	0.067356438
"1023"	"B.cells.naive"	"V840"	0.067169849	2.69e-12	0.067169849
"1024"	"T.cells.CD4.naive"	"V898"	0.0671	2.88e-12	0.06707543
"1025"	"Monocytes"	"V668"	0.067019221	3.01e-12	0.067019221
"1026"	"T.cells.CD4.memory.activated"	"V647"	-0.0669	3.37e-12	0.06686682
"1027"	"B.cells.memory"	"V1326"	0.0668	3.64e-12	0.066762366
"1028"	"T.cells.CD4.memory.activated"	"V1164"	0.0667	3.77e-12	0.066713176
"1029"	"Macrophages.M0"	"V1204"	-0.066711811	3.78e-12	0.066711811
"1030"	"Mast.cells.resting"	"V373"	-0.066693914	3.83e-12	0.066693914
"1031"	"T.cells.regulatory..Tregs."	"V680"	0.0666	4.19e-12	0.066569715
"1032"	"T.cells.regulatory..Tregs."	"V1032"	0.0664	4.77e-12	0.066395703
"1033"	"Neutrophils"	"V523"	0.066360282	4.89e-12	0.066360282
"1034"	"B.cells.naive"	"V1209"	-0.0663	5.03e-12	0.066323005
"1035"	"Mast.cells.activated"	"V1155"	0.066315433	5.06e-12	0.066315433
"1036"	"Dendritic.cells.resting"	"V1225"	-0.066212356	5.46e-12	0.066212356
"1037"	"T.cells.CD8"	"V986"	-0.0662	5.49e-12	0.066204074
"1038"	"Macrophages.M2"	"V458"	0.06601771	6.29e-12	0.06601771
"1039"	"NK.cells.activated"	"V1205"	0.065934872	6.69e-12	0.065934872
"1040"	"Monocytes"	"V1185"	0.06591113	6.8e-12	0.06591113
"1041"	"Mast.cells.resting"	"V1155"	0.065828119	7.23e-12	0.065828119
"1042"	"T.cells.CD8"	"V949"	0.0658	7.45e-12	0.065786281
"1043"	"Plasma.cells"	"V564"	-0.0657	7.84e-12	0.065716278
"1044"	"Dendritic.cells.resting"	"V360"	-0.065682202	8.04e-12	0.065682202
"1045"	"T.cells.CD4.memory.resting"	"V12"	-0.0656	8.6e-12	0.06558892
"1046"	"Macrophages.M1"	"V394"	-0.065503058	9.16e-12	0.065503058
"1047"	"NK.cells.activated"	"V291"	0.0655	9.44e-12	0.065461826
"1048"	"B.cells.memory"	"V1164"	0.0654	9.9e-12	0.065394833
"1049"	"Eosinophils"	"V1246"	-0.065389887	9.94e-12	0.065389887
"1050"	"Macrophages.M1"	"V649"	0.06537314	1.01e-11	0.06537314
"1051"	"Dendritic.cells.activated"	"V1254"	0.0653034	1.06e-11	0.0653034
"1052"	"T.cells.CD4.memory.activated"	"V1043"	-0.0652	1.11e-11	0.065232896
"1053"	"Dendritic.cells.activated"	"V839"	-0.065202118	1.14e-11	0.065202118
"1054"	"Mast.cells.activated"	"V464"	-0.065194365	1.15e-11	0.065194365
"1055"	"T.cells.CD4.memory.activated"	"V1224"	-0.0651	1.2e-11	0.065129282
"1056"	"Mast.cells.resting"	"V789"	0.065106261	1.22e-11	0.065106261
"1057"	"Macrophages.M1"	"V1194"	-0.064974494	1.34e-11	0.064974494
"1058"	"NK.cells.resting"	"V579"	-0.0649	1.39e-11	0.064927779
"1059"	"Macrophages.M0"	"V882"	0.064856138	1.46e-11	0.064856138
"1060"	"Eosinophils"	"V1116"	0.064833748	1.49e-11	0.064833748
"1061"	"Eosinophils"	"V485"	0.064821374	1.5e-11	0.064821374
"1062"	"Dendritic.cells.activated"	"V1132"	-0.064787304	1.54e-11	0.064787304
"1063"	"Monocytes"	"V1275"	0.064774952	1.55e-11	0.064774952
"1064"	"B.cells.naive"	"V1194"	-0.0647	1.6e-11	0.064730853
"1065"	"Dendritic.cells.activated"	"V1205"	0.064642926	1.7e-11	0.064642926
"1066"	"B.cells.memory"	"V1233"	-0.0646	1.72e-11	0.064627304
"1067"	"T.cells.follicular.helper"	"V1064"	0.0642	2.35e-11	0.06419157
"1068"	"T.cells.regulatory..Tregs."	"V1226"	-0.0642	2.38e-11	0.064175914
"1069"	"Dendritic.cells.resting"	"V1303"	-0.064153126	2.42e-11	0.064153126
"1070"	"Eosinophils"	"V146"	0.06413476	2.45e-11	0.06413476
"1071"	"T.cells.CD8"	"V609"	-0.064	2.61e-11	0.064046726
"1072"	"Macrophages.M2"	"V669"	-0.064042118	2.62e-11	0.064042118
"1073"	"T.cells.CD8"	"V661"	0.064	2.73e-11	0.063984132
"1074"	"Macrophages.M0"	"V712"	0.063964367	2.76e-11	0.063964367
"1075"	"T.cells.CD8"	"V649"	0.0639	2.8e-11	0.063944409
"1076"	"T.cells.gamma.delta"	"V8"	0.0639	2.9e-11	0.063895834
"1077"	"T.cells.CD4.memory.resting"	"V887"	0.0639	2.9e-11	0.063894575
"1078"	"Macrophages.M0"	"V1254"	0.063808189	3.09e-11	0.063808189
"1079"	"Plasma.cells"	"V1032"	0.0637	3.25e-11	0.063735637
"1080"	"NK.cells.resting"	"V482"	-0.0637	3.26e-11	0.06373124
"1081"	"T.cells.CD8"	"V482"	-0.0637	3.43e-11	0.063659491
"1082"	"Mast.cells.resting"	"V342"	-0.06364021	3.48e-11	0.06364021
"1083"	"Mast.cells.activated"	"V754"	0.06356934	3.65e-11	0.06356934
"1084"	"T.cells.CD4.memory.resting"	"V55"	-0.0636	3.66e-11	0.063568739
"1085"	"NK.cells.activated"	"V1164"	0.063518905	3.79e-11	0.063518905
"1086"	"Macrophages.M0"	"V788"	-0.063495618	3.85e-11	0.063495618
"1087"	"NK.cells.activated"	"V870"	-0.063433882	4.02e-11	0.063433882
"1088"	"Macrophages.M1"	"V661"	0.063424353	4.05e-11	0.063424353
"1089"	"Dendritic.cells.activated"	"V405"	-0.063405425	4.1e-11	0.063405425
"1090"	"T.cells.CD4.memory.resting"	"V169"	-0.0634	4.16e-11	0.06338546
"1091"	"T.cells.CD4.memory.activated"	"V661"	0.0632	4.75e-11	0.0631971
"1092"	"Macrophages.M2"	"V564"	-0.063172745	4.83e-11	0.063172745
"1093"	"Monocytes"	"V825"	-0.063038499	5.31e-11	0.063038499
"1094"	"B.cells.naive"	"V1198"	0.0629	5.68e-11	0.062940112
"1095"	"B.cells.memory"	"V747"	0.0629	5.77e-11	0.062918616
"1096"	"NK.cells.resting"	"V1326"	0.0629	5.78e-11	0.062916539
"1097"	"Neutrophils"	"V788"	-0.06288087	5.92e-11	0.06288087
"1098"	"Neutrophils"	"V207"	0.06281692	6.19e-11	0.06281692
"1099"	"Macrophages.M0"	"V1275"	-0.062757873	6.45e-11	0.062757873
"1100"	"Mast.cells.resting"	"V8"	-0.062702464	6.71e-11	0.062702464
"1101"	"B.cells.naive"	"V482"	-0.062697676	6.73e-11	0.062697676
"1102"	"Mast.cells.resting"	"V405"	0.062681832	6.81e-11	0.062681832
"1103"	"Neutrophils"	"V1069"	-0.062612784	7.14e-11	0.062612784
"1104"	"Neutrophils"	"V1275"	0.062576603	7.32e-11	0.062576603
"1105"	"B.cells.memory"	"V1195"	-0.0625	7.69e-11	0.062505403
"1106"	"Monocytes"	"V870"	0.062475894	7.85e-11	0.062475894
"1107"	"Eosinophils"	"V564"	-0.062422785	8.15e-11	0.062422785
"1108"	"Dendritic.cells.activated"	"V485"	-0.06226245	9.1e-11	0.06226245
"1109"	"T.cells.CD4.memory.activated"	"V986"	-0.0622	9.74e-11	0.062164765
"1110"	"B.cells.memory"	"V467"	0.0622	9.78e-11	0.062158996
"1111"	"NK.cells.resting"	"V1209"	-0.0621	1.03e-10	0.062087024
"1112"	"Dendritic.cells.resting"	"V1164"	0.062058223	1.05e-10	0.062058223
"1113"	"Mast.cells.resting"	"V1224"	-0.061995913	1.09e-10	0.061995913
"1114"	"T.cells.CD8"	"V1155"	-0.0619	1.16e-10	0.061905792
"1115"	"Macrophages.M2"	"V163"	0.061892029	1.18e-10	0.061892029
"1116"	"Dendritic.cells.resting"	"V898"	0.061851544	1.21e-10	0.061851544
"1117"	"T.cells.CD4.naive"	"V516"	0.0618	1.23e-10	0.061820588
"1118"	"T.cells.CD4.memory.resting"	"V659"	-0.0618	1.24e-10	0.061809706
"1119"	"B.cells.naive"	"V1254"	0.0617	1.31e-10	0.061734838
"1120"	"Dendritic.cells.activated"	"V1112"	-0.061709479	1.33e-10	0.061709479
"1121"	"B.cells.naive"	"V1170"	-0.0616	1.42e-10	0.061620636
"1122"	"T.cells.follicular.helper"	"V139"	-0.0616	1.42e-10	0.061619483
"1123"	"Plasma.cells"	"V148"	0.0616	1.42e-10	0.061611273
"1124"	"Mast.cells.resting"	"V949"	0.061595733	1.44e-10	0.061595733
"1125"	"NK.cells.resting"	"V1032"	0.0616	1.44e-10	0.061594784
"1126"	"T.cells.CD8"	"V1069"	0.0616	1.46e-10	0.061573338
"1127"	"Mast.cells.resting"	"V253"	0.061508184	1.53e-10	0.061508184
"1128"	"Monocytes"	"V881"	0.061385671	1.66e-10	0.061385671
"1129"	"Neutrophils"	"V1155"	0.061334866	1.72e-10	0.061334866
"1130"	"Mast.cells.activated"	"V1205"	0.061308282	1.75e-10	0.061308282
"1131"	"B.cells.memory"	"V215"	0.0613	1.76e-10	0.061300243
"1132"	"T.cells.regulatory..Tregs."	"V1117"	-0.0613	1.81e-10	0.061262881
"1133"	"Mast.cells.resting"	"V1204"	-0.06108468	2.04e-10	0.06108468
"1134"	"Mast.cells.resting"	"V898"	0.060989469	2.18e-10	0.060989469
"1135"	"NK.cells.activated"	"V1117"	-0.06092795	2.27e-10	0.06092795
"1136"	"Dendritic.cells.activated"	"V426"	-0.060843308	2.4e-10	0.060843308
"1137"	"T.cells.follicular.helper"	"V1246"	-0.0608	2.42e-10	0.060830636
"1138"	"Mast.cells.resting"	"V1205"	0.060808766	2.46e-10	0.060808766
"1139"	"T.cells.CD4.naive"	"V881"	0.0607	2.56e-10	0.060749736
"1140"	"Dendritic.cells.activated"	"V680"	0.060673996	2.69e-10	0.060673996
"1141"	"Monocytes"	"V425"	-0.060672078	2.7e-10	0.060672078
"1142"	"Mast.cells.resting"	"V839"	-0.060486093	3.06e-10	0.060486093
"1143"	"Dendritic.cells.activated"	"V926"	-0.060469631	3.09e-10	0.060469631
"1144"	"B.cells.naive"	"V522"	0.06034825	3.35e-10	0.06034825
"1145"	"Dendritic.cells.resting"	"V215"	0.06022536	3.64e-10	0.06022536
"1146"	"Monocytes"	"V220"	-0.060190612	3.73e-10	0.060190612
"1147"	"Macrophages.M1"	"V146"	0.060088512	3.99e-10	0.060088512
"1148"	"T.cells.CD4.memory.activated"	"V464"	0.0601	4.03e-10	0.060073315
"1149"	"Eosinophils"	"V169"	-0.060025457	4.16e-10	0.060025457
"1150"	"T.cells.CD4.memory.resting"	"V482"	-0.0599	4.38e-10	0.059949748
"1151"	"Mast.cells.resting"	"V252"	0.059932186	4.43e-10	0.059932186
"1152"	"T.cells.CD4.naive"	"V394"	0.0599	4.5e-10	0.059906818
"1153"	"Macrophages.M2"	"V1225"	-0.059866358	4.63e-10	0.059866358
"1154"	"Macrophages.M1"	"V777"	-0.05985644	4.66e-10	0.05985644
"1155"	"T.cells.CD4.memory.activated"	"V405"	0.0598	4.82e-10	0.059806207
