GSM_IDENTIFIER	TYPE	TYPE_SIMPLIFIED
CASED_p_NCLE_RNA4_HG.U133_Plus_2_E04_383676.CEL	Sarcoma	Sarcoma
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_E08_454666.CEL	Sarcoma	Sarcoma
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_G04_241192.CEL	Sarcoma	Sarcoma
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_F06_454696.CEL	Sarcoma	Sarcoma
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_D09_454656.CEL	Sarcoma	Sarcoma
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_F03_454682.CEL	Sarcoma	Sarcoma
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_A07_767842.CEL	Melanoma	Melanoma
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_B02_698922.CEL	Urogenital cancer	Urogenital cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_D03_698774.CEL	Urogenital cancer	Urogenital cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_E05_587672.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G06_241004.CEL	Urogenital cancer	Urogenital cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_E01_436550.CEL	Urogenital cancer	Urogenital cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_E09_698764.CEL	Urogenital cancer	Urogenital cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_F05_296118.CEL	Urogenital cancer	Urogenital cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_D01_419718.CEL	Urogenital cancer	Urogenital cancer
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_B09_779666.CEL	Urogenital cancer	Urogenital cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_C08_698810.CEL	Urogenital cancer	Urogenital cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_A08_454772.CEL	Urogenital cancer	Urogenital cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_D09_698792.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A05_240858.CEL	Urogenital cancer	Urogenital cancer
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_A01_779644.CEL	Urogenital cancer	Urogenital cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_G12_419818.CEL	Urogenital cancer	Urogenital cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_C12_419720.CEL	Urogenital cancer	Urogenital cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_B10_436606.CEL	Urogenital cancer	Urogenital cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_H01_698854.CEL	Urogenital cancer	Urogenital cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_B01_767942.CEL	Urogenital cancer	Urogenital cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_A02_241044.CEL	Urogenital cancer	Urogenital cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_H11_523578.CEL	Urogenital cancer	Urogenital cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_B07_767830.CEL	Urogenital cancer	Urogenital cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_B07_698766.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E04_240952.CEL	Urogenital cancer	Urogenital cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_E03_383672.CEL	Urogenital cancer	Urogenital cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_D06_767962.CEL	Urogenital cancer	Urogenital cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_E04_587670.CEL	Urogenital cancer	Urogenital cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_A03_767956.CEL	Urogenital cancer	Urogenital cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_C07_257658.CEL	Urogenital cancer	Urogenital cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_A02_295992.CEL	Urogenital cancer	Urogenital cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_F07_474594.CEL	Urogenital cancer	Urogenital cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_B02_419878.CEL	Urogenital cancer	Urogenital cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_B02_454586.CEL	Urogenital cancer	Urogenital cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_C02_767920.CEL	Urogenital cancer	Urogenital cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_D10_436572.CEL	Urogenital cancer	Urogenital cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_A09_767854.CEL	Urogenital cancer	Urogenital cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_F02_698930.CEL	Urogenital cancer	Urogenital cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_E08_296100.CEL	Urogenital cancer	Urogenital cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_A11_383760.CEL	Urogenital cancer	Urogenital cancer
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_B11_779720.CEL	Urogenital cancer	Urogenital cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_B06_569438.CEL	Urogenital cancer	Urogenital cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_B08_383750.CEL	Urogenital cancer	Urogenital cancer
